"","po_document","po_item","changed_on","short_text","material_no","company","location","matl_svcs_group","po_quantity","order_price_un","unit_price","total_li_value"
"19878",7502287874,"00013",2008-01-28,"MARKER: BALLPOINT, 25.4 MM (1 IN) DIA","2000167269",2100,"Excavation Loc 010","163000",50,"EA",3.88,194.04
"19879",7502288813,"00011",2009-09-07,"NICKEL-CADMIUM STA. STORAGE BATTERIES","7000008545",2100,"Excavation Loc 010","053000",4,"SET",5515.63,22062.5
"19880",7502288813,"00012",2009-09-07,"BATTERY CHARGER/ RECTIFIER MORE 100 ADC","7000011482",2100,"Excavation Loc 010","061000",4,"SET",16272,65088
"19881",7502288813,"00013",2009-09-07,"NICKEL-CADMIUM STA. STORAGE BATTERIES","7000008545",2100,"Excavation Loc 010","053000",4,"SET",10975.13,43900.5
"19882",7502288813,"00014",2009-09-07,"BATTERY CHARGER/ RECTIFIER MORE 100 ADC","7000011482",2100,"Excavation Loc 010","061000",4,"SET",26187.75,104751
"19883",7502288813,"00015",2009-09-07,"NICKEL-CADMIUM STA. STORAGE BATTERIES","7000008545",2100,"Excavation Loc 010","053000",4,"SET",15664.63,62658.5
"19884",7502288813,"00016",2009-09-07,"BATTERY CHARGER/ RECTIFIER MORE 100 ADC","7000011482",2100,"Excavation Loc 010","061000",4,"SET",18051.75,72207
"19885",7502288813,"00017",2009-09-07,"NMR- 601 Engineering Drawings","7000012104",2100,"Excavation Loc 010","MISC",1,"EA",0,0
"19886",7502288813,"00018",2009-09-07,"NMR- 602 Certified  Drawings","7000012105",2100,"Excavation Loc 010","MISC",1,"EA",0,0
"19887",7502288813,"00019",2009-09-07,"NMR- 603 Misc. Documents","7000012106",2100,"Excavation Loc 010","MISC",1,"EA",0,0
"19888",7502288813,"00020",2009-09-07,"SPDP COSTS","7000012107",2100,"Excavation Loc 010","MISC",1,"EA",0,0
"19889",7502290033,"00011",2009-09-16,"VALVE; GATE; WEDGE; 1 THRU 24 INCH; ANSI","7000011753",2100,"Excavation Loc 010","022000",66,"EA",1095.6,72309.6
"19890",7502290033,"00012",2009-09-16,"VALVE; GATE; WEDGE; 1 THRU 24 INCH; ANSI","7000011753",2100,"Excavation Loc 010","022000",116,"EA",1095.6,127089.6
"19891",7502290033,"00013",2008-04-20,"NMR- 601 Engineering Drawings","7000007213",2100,"Excavation Loc 010","MISC",1,"EA",0,0
"19892",7502290033,"00014",2008-11-12,"NMR- 602 Certified  Drawings","7000007214",2100,"Excavation Loc 010","MISC",1,"EA",0,0
"19893",7502290033,"00015",2008-12-22,"NMR- 603 Misc. Documents","7000007215",2100,"Excavation Loc 010","MISC",1,"EA",0,0
"19894",7502290033,"00016",2009-04-12,"MISCELLANEOUS COSTS","#VALUE!",2100,"Excavation Loc 010","MISC",1,"EA",0,0
"19895",7502290851,"00011",2009-04-06,"NICKEL-CADMIUM STA. STORAGE BATTERIES","7000008545",2100,"Excavation Loc 010","053000",4,"SET",20611.2,82444.8
"19896",7502290851,"00012",2009-04-06,"BATTERY CHARGER/ RECTIFIER MORE 100 ADC","7000011482",2100,"Excavation Loc 010","061000",4,"SET",18807.72,75230.88
"19897",7502290851,"00013",2008-10-06,"NMR- 601 Engineering Drawings","7000007213",2100,"Excavation Loc 010","MISC",1,"EA",0,0
"19898",7502290851,"00014",2008-10-06,"NMR- 602 Certified  Drawings","7000007214",2100,"Excavation Loc 010","MISC",1,"EA",0,0
"19899",7502290851,"00015",2008-12-30,"NMR- 603 Misc. Documents","7000007215",2100,"Excavation Loc 010","MISC",1,"EA",0,0
"19900",7502290851,"00016",2008-10-06,"MISCELLANEOUS COSTS","#VALUE!",2100,"Excavation Loc 010","MISC",1,"EA",0,0
"19901",7502291600,"00011",2008-01-15,"SERVICE: PIPING COATING, EXT & INT, FBE","7000007861",2100,"Construction Loc 005","021000",135000,"EA",1.72,231660
"19902",7502292483,"00011",2009-02-15,"VALVE; BALL;  TOP ENTRY; 2 THRU 24 IN;","7000011611",2100,"Excavation Loc 010","024000",1,"EA",87198.26,87198.26
"19903",7502292483,"00012",2009-02-15,"VALVE; BALL;  TOP ENTRY; 2 THRU 24 IN;","7000011611",2100,"Excavation Loc 010","024000",1,"EA",92270.72,92270.72
"19904",7502292483,"00013",2009-02-11,"VALVE; BALL;  TOP ENTRY; 2 THRU 24 IN;","7000011611",2100,"Excavation Loc 010","024000",1,"EA",99637.86,99637.86
"19905",7502292483,"00014",2009-02-11,"VALVE; BALL;  TOP ENTRY; 2 THRU 24 IN;","7000011611",2100,"Excavation Loc 010","024000",1,"EA",99637.86,99637.86
"19906",7502292483,"00015",2009-02-11,"VALVE; BALL;  TOP ENTRY; 2 THRU 24 IN;","7000011611",2100,"Excavation Loc 010","024000",1,"EA",92270.72,92270.72
"19907",7502292483,"00016",2008-12-23,"NMR- 601 Engineering Drawings","7000012104",2100,"Excavation Loc 010","MISC",1,"EA",1462.5,1462.5
"19908",7502292483,"00017",2008-12-23,"NMR- 602 Certified  Drawings","7000012105",2100,"Excavation Loc 010","MISC",1,"EA",1462.5,1462.5
"19909",7502292483,"00018",2009-02-11,"NMR- 603 Misc. Documents","7000012106",2100,"Excavation Loc 010","MISC",1,"EA",1462.5,1462.5
"19910",7502292483,"00019",2008-12-23,"MISCELLANEOUS COSTS","7000012107",2100,"Excavation Loc 010","MISC",1,"EA",1462.5,1462.5
"19911",7502292484,"00011",2009-02-15,"VALVE; BALL;  TOP ENTRY; 2 THRU 24 IN;","7000011611",2100,"Excavation Loc 010","024000",4,"EA",76087.08,304348.32
"19912",7502292484,"00012",2008-12-31,"VALVE; BALL;  TOP ENTRY; 2 THRU 24 IN;","7000011611",2100,"Excavation Loc 010","024000",1,"EA",87198.26,87198.26
"19913",7502292484,"00013",2008-12-31,"VALVE; BALL;  TOP ENTRY; 2 THRU 24 IN;","7000011611",2100,"Excavation Loc 010","024000",1,"EA",92270.72,92270.72
"19914",7502292484,"00014",2009-03-21,"VALVE; BALL;  TOP ENTRY; 2 THRU 24 IN;","7000011611",2100,"Excavation Loc 010","024000",1,"EA",99637.86,99637.86
"19915",7502292484,"00015",2009-03-21,"VALVE; BALL;  TOP ENTRY; 2 THRU 24 IN;","7000011611",2100,"Excavation Loc 010","024000",1,"EA",99637.86,99637.86
"19916",7502292484,"00016",2008-12-31,"VALVE; BALL;  TOP ENTRY; 2 THRU 24 IN;","7000011611",2100,"Excavation Loc 010","024000",1,"EA",92270.72,92270.72
